"AdGroupID","SearchCampaignID","SEAdGroupID","AdGroupName"
"3048307","10189699","10715291430","Lenovo Services Customer Support"
"3048309","10189699","10715291190","Lenovo Services"
"3048312","10189700","10715294550","Thinkpad Helix"
"3048318","10189700","10715293830","Lenovo Helix Laptop"
"3048329","10189700","10715294070","Lenovo Helix Tablet"
"3048331","10189700","10715293710","Lenovo Helix"
"3048336","10189700","10715292990","Helix Laptop"
"3048341","10189700","10715294670","Thinkpad Helix Laptop"
"3048353","10189701","10715295390","Lenovo Tablet 2"
"3048354","10189701","10715295510","Lenovo Thinkpad Tablet 2"
"3048356","10189702","10715296350","Thinkpad X230 Laptop"
"3048359","10189702","10715295990","Thinkpad X Series Laptops"
"3048360","10189702","10715295870","Lenovo Carbon X1 Touch Laptop"
"3048362","10189702","10715295630","Lenovo Carbon X Laptop"
"3048381","10189704","10714774830","Lenovo Reseller Program"
"3048383","10189704","10714775790","Lenovo Partner Demo Program"
"3048410","10189708","10714778070","Lenovo Solutions Book"
"3048428","10189708","10714778550","Lenovo Solutions Centre"
"3048430","10189708","10714778190","Lenovo Solution Center"
"3048439","10189709","10714781550","Lenovo Quick Pick"
"3048455","10189711","10714783830","Lenovo Business Partner"
"3321322","10216082","1657497141","Plantronics Exact"
"3321673","10216096","4320311541","Voyager Legend"
"3321790","10216099","2158989141","Accessories"
"3321882","10216106","2282983941","Savi 700 Series"
"3321896","10216107","2284549941","Plantronics My Headset"
"3321900","10216107","7061630781","Manual-Voyager Legend"
"3322127","10216125","4311472701","Backbeat Go Branded"
"3322195","10216136","6676529781","GameCom 780"
"3352092","10219755","6368088354","Server Security"
"3352096","10219755","4978472514","Business Antivirus & Endpoint Security"
"3352100","10219755","4935473274","Two Factor Authentication"
"3352133","10219760","7456433754","Similar - General Business - Visitor"
"3352135","10219760","7456433634","Similar - Endpoint Products"
"3352187","10219764","6327124787","ESET - NOD32 Business"
"3352193","10219764","3833706347","ESET - File Security"
"3352195","10219764","3833705987","ESET - Endpoint Security"
"3352196","10219764","3833705747","ESET - Business"
"3352214","10219766","6327125267","Enterprise Antivirus - Phrase"
"3352218","10219766","6327125147","Small Business Antivirus - Phrase"
"3352224","10219767","6327125627","Endpoint Protection"
"3352230","10219767","6327125747","Endpoint Antivirus"
"3352231","10219768","6327127187","Gateway Server - Security"
"3352234","10219768","6327127067","File Server - Security"
"3352235","10219768","6327126947","Mail Server - Security"
"3352316","10219771","7567904987","Windows 8 Antivirus -  Exact"
"3352319","10219771","7567904867","Linux Antivirus -  Exact"
"3352341","10219771","7567904627","Windows Antivirus -  Exact"
"3352345","10219771","7567904507","Windows 7 Antivirus -  Exact"
"3352356","10219771","7567904387","PC Antivirus -  Exact"
"3352360","10219771","7567905107","Mac Antivirus -  Exact"
"3352425","10219775","7699176947","Virus Protection - Generic - Exact"
"3352431","10219775","7567908467","Virus Protection - Software - Exact"
"3352476","10219777","7567910867","Virus Protection Trial - Exact"
"3352482","10219777","7567910507","Anti Virus Trial - Exact"
"3352486","10219777","7567910387","Antivirus Trial - Exact"
"3352491","10219778","7567912667","One Time Password"
"3352493","10219778","7567912547","VPN"
"3352496","10219778","7567912427","Multi Factor Authentication"
"3352499","10219778","7567912307","2 Factor Authentication"
"3352503","10219778","7567911947","Two Factor Authentication"
"3352517","10219779","7567914227","ESET Smart Security Antivirus - Phrase"
"3352520","10219779","7567913867","Smart Security - Phrase"
"3352529","10219779","7567915187","ESET Smart Security - Exact"
"3352544","10219779","7567916507","ESET Smart Security - BroadMod"
"3352551","10219779","7567915787","Smart Security - Exact"
"3352555","10219779","7567915427","ESET Smart Security Download - Exact"
"3352575","10219779","7567913987","ESET Smart Security - Phrase"
"3352585","10219780","7567921787","ESET NOD32 Download - Phrase"
"3352588","10219780","7766991467","ESET NOD32 Download Antivirus - Broad"
"3352600","10219780","7567918547","NOD32 Antivirus - Exact"
"3352602","10219780","7567920587","NOD32 URLs - Exact"
"3352648","10219780","7567920947","NOD32 Antivirus - Phrase"
"3352658","10219780","7567917587","NOD32 Security - Broad"
"3352688","10219780","7567917947","ESET NOD32 Download - Broad"
"3352709","10219780","7567920707","NOD32 - Phrase"
"3352716","10219780","7567919267","NOD32 Download - Exact"
"3352718","10219780","7567918307","NOD32 - Exact"
"3352727","10219780","7567917347","NOD32 Antivirus - Broad"
"3352734","10219780","7766991947","ESET NOD32 Download Antivirus - Exact"
"3352748","10219780","7567921667","NOD32 Download - Phrase"
"3352755","10219780","7766992547","ESET NOD32 Download - BroadMod"
"3352758","10219780","7567918667","ESET NOD32 Antivirus - Exact"
"3352766","10219780","7567922867","NOD32 Typos - Phrase"
"3352772","10219780","7567921067","ESET NOD32 Antivirus - Phrase"
"3352782","10219780","7766990747","ESET NOD32 Reviews - Broad"
"3352799","10219780","7567920467","NOD32 Typos - Exact"
"3352800","10219780","7567917707","ESET NOD32 Security - Broad"
"3352802","10219780","7567922627","NOD32 Renewals - Phrase"
"3352806","10219780","7567917107","NOD32 - Broad"
"3352815","10219780","7567919387","ESET NOD32 Download - Exact"
"3352816","10219780","7567920827","ESET NOD32 - Phrase"
"3352818","10219780","7567918427","ESET NOD32 - Exact"
"3352821","10219780","7567920227","NOD32 Renewals - Exact"
"3352822","10219780","7567917467","ESET NOD32 Antivirus - Broad"
"3352825","10219781","7567925987","ESET Typos - Phrase"
"3352826","10219781","7567923227","ESET Antivirus - Broad"
"3352828","10219781","7567925267","ESET - Phrase"
"3352829","10219781","7567924907","ESET Virus - Exact"
"3352831","10219781","7567924187","ESET Renewals - Exact"
"3352832","10219781","7567923827","ESET - Exact"
"3352837","10219781","7567925507","ESET Download - Phrase"
"3352839","10219781","7567924787","ESET URLs - Exact"
"3352840","10219781","7567924427","ESET Security - Exact"
"3352841","10219781","7567924067","ESET Download - Exact"
"3352842","10219781","7567923707","ESET Scan - Exact"
"3352845","10219781","7567925747","ESET Security - Phrase"
"3352848","10219781","7567924667","ESET Typos - Exact"
"3352850","10219781","7567923947","ESET Antivirus - Exact"
"3352853","10219782","7567926707","Family Security Pack - Exact"
"3352857","10219783","7567926947","ESET - Cybersecurity for Mac - Phrase"
"3352865","10219790","7684319867","ESET Coupon - Phrase"
"3352866","10219791","7749515507","ESET NOD32 Trial - Exact"
"3352868","10219791","7749515747","ESET - Trial - Exact"
"3353489","10219774","7768515467","Antivirus - Best Software - BroadMod"
"3353495","10219774","7768511507","Antivirus - Program - Exact"
"3353497","10219774","7768513667","Antivirus - Best Software - Phrase"
"3353499","10219774","7768515827","Antivirus - Download - BroadMod"
"3353500","10219774","7768513067","Antivirus - Antivir - Phrase"
"3353502","10219774","7768515227","Antivirus - Software - BroadMod"
"3353506","10219774","7768516307","Antivirus - Computer - BroadMod"
"3353508","10219774","7768511867","Antivirus - Best Software - Exact"
"3353511","10219774","7768511267","Antivirus - Antivir - Exact"
"3353514","10219774","7768515587","Antivirus - Best Program - BroadMod"
"3353517","10219774","7768514987","Antivirus - Generic - BroadMod"
"3353518","10219774","7768512227","Antivirus - Download - Exact"
"3353520","10219774","7768511627","Antivirus - Software - Exact"
"3353524","10219774","7768513187","Antivirus - Generic - Phras"
"3353526","10219774","7768515347","Antivirus - Best - BroadMod"
"3353529","10219774","7768514747","Antivirus - Top rated - Phrase"
"3353532","10219774","7768511387","Antivirus - Generic - Exact"
"3353533","10219774","7768513547","Antivirus - Best - Phrase"
"3353536","10219774","7768512947","Antivirus - Top rated - Exact"
"3353543","10219774","7768511747","Antivirus - Best - Exact"
"3353547","10219774","7768513307","Antivirus - Program - Phrase"
"3353550","10219780","7768517267","NOD32 Download Antivirus - Exact"
"3353557","10219780","7768517387","NOD32 Download Antivirus - Phrase"
"3353560","10219780","7768516787","NOD32 Antivirus - BroadMod"
"3353564","10219780","7768517747","NOD32 Internet Security - Exact"
"3353565","10219780","7768519907","NOD32 Virus - Broad"
"3353570","10219780","7768518107","NOD32 Online Scan - BroadMod"
"3353574","10219780","7768516907","NOD32 Download - BroadMod"
"3353580","10219780","7768516667","NOD32 - BroadMod"
"3353581","10219780","7768518227","NOD32 Online Scan - Exact"
"3353584","10219781","7768148387","ESET Antivirus - BroadMod"
"3353592","10219781","7768148507","ESET - BroadMod"
"3353594","10219781","7768149467","ESET Security - BroadMod"
"3359081","10219776","7784233667","Removal - Popups - Phrase"
"3362366","10216125","8530893141","BackBeat Go 2 Branded"
"3362372","10216125","8530893261","Wireless Earbuds"
"3363437","10219771","7686998147","Windows XP Antivirus -  Exact"
"3378190","10219771","7824843227","Linux Antivirus -  Phrase"
"3378191","10219771","7824843467","Ubuntu Antivirus -  Phrase"
"3378192","10219771","7824966587","Windows 7 Antivirus -  Phrase"
"3378193","10219771","7824966947","Windows XP Antivirus -  Phrase"
"3378194","10219771","7824966707","Windows Antivirus -  Phrase"
"3378195","10219771","7824966467","PC Antivirus -  Phrase"
"3378196","10219771","7824966347","Windows Vista -  Exact"
"3378197","10219771","7824843107","Apple Antivirus -  Phrase"
"3378198","10219771","7824843347","Mac Antivirus -  Phrase"
"3378199","10219771","7824967067","Windows Vista -  Phrase"
"3378200","10219771","7824966827","Windows 8 Antivirus -  Phrase"
"3404129","10219775","7835003627","Virus Protection - Mac - Exact"
"3404131","10219775","7835006507","Virus Protection - Windows - Phrase"
"3404134","10219775","7835003987","Virus Protection - Windows - Exact"
"3404137","10219775","7835007347","Virus Protection - Software - Phrase"
"3404138","10219775","7835007827","Virus Protection - Generic - Phrase"
"3404146","10219775","7835004227","Virus Protection - PC - Exact"
"3404150","10219777","7836121547","Anti Virus Trial - Phrase"
"3404151","10219777","7836121427","Antivirus Trial - Phrase"
"3404153","10219777","7836121787","Virus Protection Trial - Phrase"
"3410211","10219788","7836619907","PCI Checklist"
"3412904","10189702","12551642910","Lenovo X1 Carbon Laptop"
"3412905","10189702","12551642550","Lenovo Carbon Ultrabook"
"3412906","10189702","12551642190","Lenovo Carbon Laptop"
"3412914","10189702","12551642790","Lenovo X1 Carbon"
"3412932","10224837","12551644710","Lenovo ThinkCentre Desktop"
"3412938","10224837","12551644590","Lenovo ThinkCentre"
"3412941","10224837","12551646030","ThinkCentre M93P"
"3412990","10224838","12551647710","Lenovo ThinkServer"
"3423457","10219772","7923314267","Feature - Firewall"
"3423461","10219775","7923316907","Antivirus Protection - Phrase"
"3423462","10219775","7923316787","Antivirus Protection - Exact"
"3444529","10219772","7934375147","Virus Protection - Reviews - Exact"
"3460641","10219774","7964758187","Virus Protection - Best - Phrase"
"3460643","10219774","7964757467","Antivirus - Windows XP - Phrase"
"3460668","10219783","7964707787","ESET - Cybersecurity for Mac - Exact"
"3460669","10219783","7964707667","ESET - Cyber Security Pro - Exact"
"3460670","10219783","7964707547","ESET - Mac - Exact"
"3460673","10219790","7964706827","ESET Coupon - Exact"
"3460675","10219790","7964706587","NOD32 Coupon - BroadMod"
"3460676","10219790","7964706467","ESET Coupon - BroadMod"
"3471720","10219779","7986508787","Smart Security - BroadMod"
"3471722","10219779","7986509027","ESET Smart Security Renewals - Exact"
